name,State of residence,Took office,Left office,president
Norman Jay Coleman,Missouri,"February 15, 1889","March 6, 1889",Grover Cleveland
Jeremiah McLain Rusk,Wisconsin,"March 6, 1889","March 6, 1893",Benjamin Harrison
Julius Sterling Morton,Nebraska,"March 7, 1893","March 5, 1897",Grover Cleveland
James Wilson,Iowa,"March 5, 1897",3-Mar-13,William McKinley
James Wilson,Iowa,"March 5, 1897",3-Mar-13,Theodore Roosevelt
James Wilson,Iowa,"March 5, 1897",3-Mar-13,William Howard Taft
David F. Houston,Missouri,6-Mar-13,2-Feb-20,Woodrow Wilson
Edwin T. Meredith,Iowa,2-Feb-20,4-Mar-21,Woodrow Wilson
Henry Cantwell Wallace,Iowa,5-Mar-21,25-Oct-24,Warren G. Harding
Henry Cantwell Wallace,Iowa,5-Mar-21,25-Oct-24,Calvin Coolidge
Howard Mason Gore,West Virginia,22-Nov-24,4-Mar-25,Calvin Coolidge
William Marion Jardine,Kansas,5-Mar-25,4-Mar-29,Calvin Coolidge
Arthur M. Hyde,Missouri,6-Mar-29,4-Mar-33,Herbert Hoover
Henry A. Wallace,Iowa,4-Mar-33,4-Sep-40,Franklin D. Roosevelt
Claude R. Wickard,Indiana,5-Sep-40,29-Jun-45,Franklin D. Roosevelt
Claude R. Wickard,Indiana,5-Sep-40,29-Jun-45,Harry S. Truman
Clinton Presba Anderson,New Mexico,30-Jun-45,10-May-48,Harry S. Truman
Charles F. Brannan,Colorado,2-Jun-48,20-Jan-53,Harry S. Truman
Ezra Taft Benson,Utah,21-Jan-53,20-Jan-61,Dwight D. Eisenhower
Orville Freeman,Minnesota,21-Jan-61,20-Jan-69,John F. Kennedy
Orville Freeman,Minnesota,21-Jan-61,20-Jan-69,Lyndon B. Johnson
Clifford M. Hardin,Nebraska,21-Jan-69,17-Nov-71,Richard Nixon
Earl Butz,Indiana,2-Dec-71,4-Oct-76,Richard Nixon
Earl Butz,Indiana,2-Dec-71,4-Oct-76,Gerald Ford
John Albert Knebel,Oklahoma,4-Nov-76,20-Jan-77,Gerald Ford
Robert Bergland,Minnesota,23-Jan-77,20-Jan-81,Jimmy Carter
John Rusling Block,Illinois,23-Jan-81,14-Feb-86,Ronald Reagan
Richard Edmund Lyng,California,7-Mar-86,21-Jan-89,Ronald Reagan
Clayton Keith Yeutter,Nebraska,16-Feb-89,1-Mar-91,George H. W. Bush
Edward Rell Madigan,Illinois,8-Mar-91,20-Jan-93,George H. W. Bush
Mike Espy,Mississippi,22-Jan-93,31-Dec-94,Bill Clinton
Richard Rominger,California,31-Dec-94,30-Mar-95,Bill Clinton
Dan Glickman,Kansas,30-Mar-95,20-Jan-01,Bill Clinton
Ann Veneman,California,20-Jan-01,20-Jan-05,George W. Bush
Mike Johanns,Nebraska,21-Jan-05,20-Sep-07,George W. Bush
Charles F. Conner,Indiana,20-Sep-07,28-Jan-08,George W. Bush
Ed Schafer,North Dakota,28-Jan-08,20-Jan-09,George W. Bush
Tom Vilsack,Iowa,20-Jan-09,13-Jan-17,Barack Obama
Michael Scuse,Delaware,13-Jan-17,20-Jan-17,Barack Obama
Mike Young,,20-Jan-17,25-Apr-17,Donald Trump
Sonny Perdue,Georgia,25-Apr-17,20-Jan-21,Donald Trump
Kevin Shea,,20-Jan-21,24-Feb-21,Joe Biden
Tom Vilsack,Iowa,24-Feb-21,Incumbent,Joe Biden
