name,State of residence,Took office,Left office,president
Edmund Randolph,Virginia,"September 26, 1789","January 26, 1794",George Washington
William Bradford,Pennsylvania,"January 27, 1794","August 23, 1795",George Washington
Charles Lee,Virginia,"December 10, 1795","February 19, 1801",George Washington
Charles Lee,Virginia,"December 10, 1795","February 19, 1801",John Adams
Levi Lincoln Sr.,Massachusetts,"March 5, 1801","March 2, 1805",Thomas Jefferson
John Breckinridge,Kentucky,"August 7, 1805","December 14, 1806",Thomas Jefferson
Caesar Augustus Rodney,Delaware,"January 20, 1807","December 10, 1811",Thomas Jefferson
Caesar Augustus Rodney,Delaware,"January 20, 1807","December 10, 1811",James Madison
William Pinkney,Maryland,"December 11, 1811","February 9, 1814",James Madison
Richard Rush,Pennsylvania,"February 10, 1814","November 12, 1817",James Madison
William Wirt,Virginia,"November 13, 1817","March 4, 1829",James Monroe
William Wirt,Virginia,"November 13, 1817","March 4, 1829",John Quincy Adams
John Macpherson Berrien,Georgia,"March 9, 1829","July 19, 1831",Andrew Jackson
Roger B. Taney,Maryland,"July 20, 1831","November 14, 1833",Andrew Jackson
Benjamin Franklin Butler,New York,"November 15, 1833","July 4, 1838",Andrew Jackson
Benjamin Franklin Butler,New York,"November 15, 1833","July 4, 1838",Martin Van Buren
Felix Grundy,Tennessee,"July 5, 1838","January 10, 1840",Martin Van Buren
Henry D. Gilpin,Pennsylvania,"January 11, 1840","March 4, 1841",Martin Van Buren
John J. Crittenden,Kentucky,"March 5, 1841","September 12, 1841",William Henry Harrison
John J. Crittenden,Kentucky,"March 5, 1841","September 12, 1841",John Tyler
Hugh S. Legaré,South Carolina,"September 13, 1841","June 20, 1843",John Tyler
John Nelson,Maryland,"July 1, 1843","March 4, 1845",John Tyler
John Y. Mason,Virginia,"March 5, 1845","October 16, 1846",James K. Polk
Nathan Clifford,Maine,"October 17, 1846","March 17, 1848",James K. Polk
Isaac Toucey,Connecticut,"June 21, 1848","March 4, 1849",James K. Polk
Reverdy Johnson,Maryland,"March 8, 1849","July 21, 1850",Zachary Taylor
"John J. Crittenden
2nd term",Kentucky,"July 22, 1850","March 4, 1853",Millard Fillmore
Caleb Cushing,Massachusetts,"March 7, 1853","March 4, 1857",Franklin Pierce
Jeremiah S. Black,Pennsylvania,"March 6, 1857","December 16, 1860",James Buchanan
Edwin Stanton,Pennsylvania,"December 20, 1860","March 4, 1861",James Buchanan
Edward Bates,Missouri,"March 5, 1861","November 24, 1864",Abraham Lincoln
James Speed,Kentucky,"December 2, 1864","July 22, 1866",Abraham Lincoln
James Speed,Kentucky,"December 2, 1864","July 22, 1866",Andrew Johnson
Henry Stanbery,Ohio,"July 23, 1866","July 16, 1868",Andrew Johnson
William M. Evarts,New York,"July 17, 1868","March 4, 1869",Andrew Johnson
Ebenezer R. Hoar,Massachusetts,"March 5, 1869","November 22, 1870",Ulysses S. Grant
Amos T. Akerman,Georgia,"November 23, 1870","December 13, 1871",Ulysses S. Grant
