name,party,vice
George Washington,Nonpartisan [13],John Adams
John Adams,Federalist,Thomas Jefferson
Thomas Jefferson,Democratic- Republican,Aaron Burr
James Madison,Democratic- Republican,George Clinton
James Monroe,Democratic- Republican,Daniel D. Tompkins
John Quincy Adams,Democratic- Republican,John C. Calhoun
Andrew Jackson,Democratic,John C. Calhoun
Martin Van Buren,Democratic,Richard Mentor Johnson
William Henry Harrison,Whig,John Tyler
John Tyler,"Whig April 4, 1841 â€“ September 13, 1841",Office vacant
James K. Polk,Democratic,George M. Dallas
Zachary Taylor,Whig,Millard Fillmore
Millard Fillmore,Whig,Office vacant
Franklin Pierce,Democratic,William R. King
James Buchanan,Democratic,John C. Breckinridge
Abraham Lincoln,Republican ( National Union ) [i],Hannibal Hamlin
Andrew Johnson,National Union [i] ( Democratic ) [j],Office vacant
Ulysses S. Grant,Republican,Schuyler Colfax
Rutherford B. Hayes,Republican,William A. Wheeler
James A. Garfield,Republican,Chester A. Arthur
Chester A. Arthur,Republican,Office vacant
Grover Cleveland,Democratic,Thomas A. Hendricks
Benjamin Harrison,Republican,Levi P. Morton
Grover Cleveland,Democratic,Adlai Stevenson
William McKinley,Republican,Garret Hobart
Theodore Roosevelt,Republican,Office vacant
William Howard Taft,Republican,James S. Sherman
Woodrow Wilson,Democratic,Thomas R. Marshall
Warren G. Harding,Republican,Calvin Coolidge
Calvin Coolidge,Republican,Office vacant
Herbert Hoover,Republican,Charles Curtis
Franklin D. Roosevelt,Democratic,John Nance Garner
Harry S. Truman,Democratic,Office vacant
Dwight D. Eisenhower,Republican,Richard Nixon
John F. Kennedy,Democratic,Lyndon B. Johnson
Lyndon B. Johnson,Democratic,Office vacant
Richard Nixon,Republican,Spiro Agnew
Gerald Ford,Republican,Office vacant
Jimmy Carter,Democratic,Walter Mondale
Ronald Reagan,Republican,George H. W. Bush
George H. W. Bush,Republican,Dan Quayle
Bill Clinton,Democratic,Al Gore
George W. Bush,Republican,Dick Cheney
Barack Obama,Democratic,Joe Biden
Donald Trump,Republican,Mike Pence
Joe Biden,Democratic,Kamela Harris
